benchmark,run,result
quadratic,baseline,785
quadratic,dce,783
quadratic,lvn_dce,379
primes-between,baseline,574100
primes-between,dce,574100
primes-between,lvn_dce,574100
birthday,baseline,484
birthday,dce,483
birthday,lvn_dce,437
orders,baseline,5352
orders,dce,5352
orders,lvn_dce,5352
sum-check,baseline,5018
sum-check,dce,5018
sum-check,lvn_dce,5018
palindrome,baseline,298
palindrome,dce,298
palindrome,lvn_dce,298
totient,baseline,253
totient,dce,253
totient,lvn_dce,253
relative-primes,baseline,1923
relative-primes,dce,1914
relative-primes,lvn_dce,1914
hanoi,baseline,99
hanoi,dce,99
hanoi,lvn_dce,99
is-decreasing,baseline,127
is-decreasing,dce,127
is-decreasing,lvn_dce,121
check-primes,baseline,8468
check-primes,dce,8419
check-primes,lvn_dce,8070
sum-sq-diff,baseline,3038
sum-sq-diff,dce,3036
sum-sq-diff,lvn_dce,2735
fitsinside,baseline,10
fitsinside,dce,10
fitsinside,lvn_dce,10
fact,baseline,229
fact,dce,228
fact,lvn_dce,208
loopfact,baseline,116
loopfact,dce,115
loopfact,lvn_dce,107
recfact,baseline,104
recfact,dce,103
recfact,lvn_dce,96
factors,baseline,72
factors,dce,72
factors,lvn_dce,72
perfect,baseline,232
perfect,dce,232
perfect,lvn_dce,232
bitshift,baseline,167
bitshift,dce,167
bitshift,lvn_dce,155
digital-root,baseline,247
digital-root,dce,247
digital-root,lvn_dce,247
up-arrow,baseline,252
up-arrow,dce,252
up-arrow,lvn_dce,252
sum-divisors,baseline,159
sum-divisors,dce,159
sum-divisors,lvn_dce,159
ackermann,baseline,1464231
ackermann,dce,1464231
ackermann,lvn_dce,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,dce,61518
pythagorean_triple,lvn_dce,61518
dot-product,baseline,88
dot-product,dce,88
dot-product,lvn_dce,88
euclid,baseline,563
euclid,dce,562
euclid,lvn_dce,522
binary-fmt,baseline,100
binary-fmt,dce,100
binary-fmt,lvn_dce,100
lcm,baseline,2326
lcm,dce,2326
lcm,lvn_dce,2326
gcd,baseline,46
gcd,dce,46
gcd,lvn_dce,46
catalan,baseline,659378
catalan,dce,659378
catalan,lvn_dce,659378
armstrong,baseline,133
armstrong,dce,130
armstrong,lvn_dce,130
pascals-row,baseline,146
pascals-row,dce,139
pascals-row,lvn_dce,130
collatz,baseline,169
collatz,dce,169
collatz,lvn_dce,169
sum-bits,baseline,73
sum-bits,dce,73
sum-bits,lvn_dce,73
rectangles-area-difference,baseline,14
rectangles-area-difference,dce,14
rectangles-area-difference,lvn_dce,14
mod_inv,baseline,558
mod_inv,dce,555
mod_inv,lvn_dce,471
reverse,baseline,46
reverse,dce,46
reverse,lvn_dce,46
fizz-buzz,baseline,3652
fizz-buzz,dce,3552
fizz-buzz,lvn_dce,3252
bitwise-ops,baseline,1690
bitwise-ops,dce,1689
bitwise-ops,lvn_dce,1689
